_‚ ‚ ‚¢‚ ‚¤‚¦‚ 	_a_a_i_a_u_e_a
_‚¢‚¢‚¤‚ ‚¦‚¢‚¦	_i_i_u_a_e_i_e
_‚¤‚¤‚¢‚¨‚ ‚¨‚¢	_u_u_i_o_a_o_i
_‚¦‚¦‚¤‚¨‚¦‚¨‚¨	_e_e_u_o_e_o_o
_‚ñ‚¢‚ñ‚¦‚ñ‚¨‚ñ	_n_i_n_e_n_o_n
_‚¨‚¤‚ñ‚ ‚ñ‚ñ‚¤	_o_u_n_a_n_n_u
_‚©‚©‚«‚©‚­‚¯‚©	_ka_ka_ki_ka_ku_ke_ka
_‚«‚«‚­‚©‚¯‚«‚¯	_ki_ki_ku_ka_ke_ki_ke
_‚­‚­‚«‚±‚©‚±‚«	_ku_ku_ki_ko_ka_ko_ki
_‚¯‚¯‚­‚±‚¯‚±‚±	_ke_ke_ku_ko_ke_ko_ko
_‚±‚­‚ñ‚©‚ñ‚­	_ko_ku_n_ka_n_ku
_‚ñ‚«‚ñ‚¯‚ñ‚±	_n_ki_n_ke_n_ko
_‚³‚³‚·‚¡‚³‚·‚¹‚³	_sa_sa_si_sa_su_se_sa
_‚·‚¡‚·‚¡‚·‚³‚¹‚·‚¡‚¹	_si_si_su_sa_se_si_se
_‚·‚·‚·‚¡‚»‚³‚»‚·‚¡	_su_su_si_so_sa_so_si
_‚¹‚¹‚·‚»‚¹‚»‚»	_se_se_su_so_se_so_so
_‚»‚·‚ñ‚³‚ñ‚·	_so_su_n_sa_n_su
_‚ñ‚·‚¡‚ñ‚¹‚ñ‚»	_n_si_n_se_n_so
_‚½‚½‚Ä‚¡‚½‚Æ‚£‚Ä‚½	_ta_ta_ti_ta_tu_te_ta
_‚Ä‚¡‚Ä‚¡‚Æ‚£‚½‚Ä‚Ä‚¡‚Ä	_ti_ti_tu_ta_te_ti_te
_‚Æ‚£‚Æ‚£‚Ä‚¡‚Æ‚½‚Æ‚Ä‚¡	_tu_tu_ti_to_ta_to_ti
_‚Ä‚Ä‚Æ‚£‚Æ‚Ä‚Æ‚Æ	_te_te_tu_to_te_to_to
_‚Æ‚Æ‚£‚ñ‚½‚ñ‚Æ‚£	_to_tu_n_ta_n_tu
_‚ñ‚Ä‚¡‚ñ‚Ä‚ñ‚Æ	_n_ti_n_te_n_to
_‚È‚È‚É‚È‚Ê‚Ë‚È	_na_na_ni_na_nu_ne_na
_‚É‚É‚Ê‚È‚Ë‚É‚Ë	_ni_ni_nu_na_ne_ni_ne
_‚Ê‚Ê‚É‚Ì‚È‚Ì‚É	_nu_nu_ni_no_na_no_ni
_‚Ë‚Ë‚Ê‚Ì‚Ë‚Ì‚Ì	_ne_ne_nu_no_ne_no_no
_‚Ì‚Ê‚ñ‚È‚ñ‚Ê	_no_nu_n_na_n_nu
_‚ñ‚É‚ñ‚Ë‚ñ‚Ì	_n_ni_n_ne_n_no
_‚Í‚Í‚Ð‚Í‚Ó‚Ö‚Í	_ha_ha_hi_ha_hu_he_ha
_‚Ð‚Ð‚Ó‚Í‚Ö‚Ð‚Ö	_hi_hi_hu_ha_he_hi_he
_‚Ó‚Ó‚Ð‚Ù‚Í‚Ù‚Ð	_hu_hu_hi_ho_ha_ho_hi
_‚Ö‚Ö‚Ó‚Ù‚Ö‚Ù‚Ù	_he_he_hu_ho_he_ho_ho
_‚Ù‚Ó‚ñ‚Í‚ñ‚Ó	_ho_hu_n_ha_n_hu
_‚ñ‚Ð‚ñ‚Ö‚ñ‚Ù	_n_hi_n_he_n_ho
_‚Ü‚Ü‚Ý‚Ü‚Þ‚ß‚Ü	_ma_ma_mi_ma_mu_me_ma
_‚Ý‚Ý‚Þ‚Ü‚ß‚Ý‚ß	_mi_mi_mu_ma_me_mi_me
_‚Þ‚Þ‚Ý‚à‚Ü‚à‚Ý	_mu_mu_mi_mo_ma_mo_mi
_‚ß‚ß‚Þ‚à‚ß‚à‚à	_me_me_mu_mo_me_mo_mo
